"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Gunnison,"1,051,079","1,023,397","947,059","1,021,503",23,-2.6,-7.5,7.9,20
Hinsdale,"35,160","34,315","32,722","32,817",64,-2.4,-4.6,0.3,47
Huerfano,"259,351","260,343","275,298","282,328",48,0.4,5.7,2.6,43
Jackson,"128,807","144,870","127,506","107,640",59,12.5,-12.0,-15.6,62
Jefferson,"28,989,403","30,324,218","29,566,024","31,080,243",4,4.6,-2.5,5.1,32
Kiowa,"55,145","76,852","75,862","109,473",58,39.4,-1.3,44.3,2
Kit Carson,"284,893","362,718","348,080","461,910",41,27.3,-4.0,32.7,4
Lake,"265,738","297,078","284,299","305,099",46,11.8,-4.3,7.3,22
La Plata,"3,431,938","3,390,322","3,297,701","3,277,902",15,-1.2,-2.7,-0.6,50
Larimer,"17,850,508","18,828,593","19,021,345","20,344,512",8,5.5,1.0,7.0,25
Las Animas,"693,535","688,550","700,697","653,543",32,-0.7,1.8,-6.7,57
Lincoln,"348,121","349,388","365,426","368,216",44,0.4,4.6,0.8,46
Logan,"995,809","985,489","915,366","993,254",24,-1.0,-7.1,8.5,14
Mesa,"5,967,716","6,066,610","5,921,002","6,142,260",11,1.7,-2.4,3.7,37
Mineral,"52,897","53,742","45,866","52,011",62,1.6,-14.7,13.4,7
Moffat,"953,994","989,183","998,094","992,227",25,3.7,0.9,-0.6,49
Montezuma,"1,953,141","2,081,718","1,839,380","1,758,343",19,6.6,-11.6,-4.4,52
Montrose,"1,449,424","1,484,056","1,465,483","1,547,808",20,2.4,-1.3,5.6,30
Morgan,"1,517,211","1,482,870","1,479,230","1,479,579",21,-2.3,-0.2,0.0,48
Otero,"518,548","557,633","564,622","582,144",35,7.5,1.3,3.1,40
Ouray,"209,056","222,157","228,583","287,242",47,6.3,2.9,25.7,6
Park,"381,760","412,335","412,936","440,027",42,8.0,0.1,6.6,26
Phillips,"181,003","179,389","179,813","191,542",52,-0.9,0.2,6.5,28
Pitkin,"2,019,777","2,048,532","1,877,717","2,088,162",17,1.4,-8.3,11.2,10
Prowers,"513,003","505,396","481,631","519,846",39,-1.5,-4.7,7.9,18
Pueblo,"5,617,557","5,851,377","5,638,847","6,008,543",12,4.2,-3.6,6.6,27
Rio Blanco,"770,849","828,994","819,156","748,521",30,7.5,-1.2,-8.6,59
Rio Grande,"419,900","438,410","459,772","427,656",43,4.4,4.9,-7.0,58
