"Table 1. Real Gross Domestic Product, by County, 2018–2021",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2012) dollars,,,,Rank in state,Percent change,,,Rank in state
Blount,"5,162,754","5,375,124","5,239,908","5,829,434",10,4.1,-2.5,11.3,8
Bradley,"3,983,446","4,029,943","4,017,935","4,180,320",15,1.2,-0.3,4.0,77
Campbell,"843,909","860,198","857,117","941,404",48,1.9,-0.4,9.8,21
Cannon,"226,204","230,712","240,201","256,821",83,2.0,4.1,6.9,48
Carroll,"625,774","603,209","554,205","562,528",60,-3.6,-8.1,1.5,88
Carter,"941,221","936,715","927,235","973,661",47,-0.5,-1.0,5.0,68
Cheatham,"1,061,899","1,055,200","1,055,062","1,166,174",40,-0.6,0.0,10.5,14
Chester,"336,350","328,595","309,703","334,670",75,-2.3,-5.7,8.1,34
Claiborne,"715,799","725,414","725,936","779,394",50,1.3,0.1,7.4,42
Clay,"164,262","159,889","157,649","174,024",89,-2.7,-1.4,10.4,16
Cocke,"692,919","699,149","701,211","758,368",51,0.9,0.3,8.2,32
Coffee,"2,571,513","2,697,887","2,663,368","2,829,077",20,4.9,-1.3,6.2,55
Crockett,"530,494","520,719","524,951","543,512",64,-1.8,0.8,3.5,83
Cumberland,"1,529,314","1,565,133","1,538,997","1,654,950",29,2.3,-1.7,7.5,40
Davidson,"63,228,320","65,988,731","63,008,917","71,718,395",1,4.4,-4.5,13.8,3
Decatur,"310,524","287,628","275,505","278,698",82,-7.4,-4.2,1.2,89
DeKalb,"591,556","584,634","575,718","659,404",57,-1.2,-1.5,14.5,2
Dickson,"1,747,478","1,803,341","1,736,052","1,877,489",26,3.2,-3.7,8.1,33
Dyer,"1,529,667","1,531,893","1,512,149","1,708,317",28,0.1,-1.3,13.0,4
Fayette,"1,046,696","1,023,773","1,076,416","1,144,555",42,-2.2,5.1,6.3,53
Fentress,"414,774","433,948","437,457","459,262",70,4.6,0.8,5.0,69
Franklin,"1,072,822","1,072,038","1,035,759","1,137,051",43,-0.1,-3.4,9.8,22
Gibson,"1,294,384","1,308,108","1,287,767","1,380,934",34,1.1,-1.6,7.2,43
Giles,"1,033,978","1,022,520","1,004,818","1,080,823",44,-1.1,-1.7,7.6,39
Grainger,"357,804","370,067","384,527","424,982",72,3.4,3.9,10.5,15
Greene,"2,223,429","2,203,167","2,112,186","2,264,338",23,-0.9,-4.1,7.2,45
Grundy,"216,711","213,456","207,620","217,616",85,-1.5,-2.7,4.8,71
Hamblen,"2,740,037","2,797,350","2,753,845","3,012,556",19,2.1,-1.6,9.4,23
Hamilton,"22,604,104","23,142,846","22,454,714","24,039,324",4,2.4,-3.0,7.1,46
Hancock,"74,650","75,879","76,717","84,590",95,1.6,1.1,10.3,19
Hardeman,"555,746","533,363","522,112","518,707",66,-4.0,-2.1,-0.7,92
Hardin,"887,671","847,267","840,282","873,849",49,-4.6,-0.8,4.0,78
Hawkins,"1,571,298","1,483,561","1,378,148","1,439,617",31,-5.6,-7.1,4.5,74
Haywood,"703,674","628,764","561,087","552,105",62,-10.6,-10.8,-1.6,95
Henderson,"667,053","655,462","617,510","682,895",56,-1.7,-5.8,10.6,12
Henry,"1,097,001","1,128,103","1,099,786","1,150,267",41,2.8,-2.5,4.6,73
Hickman,"415,796","420,049","422,320","449,498",71,1.0,0.5,6.4,51
Houston,"129,563","134,571","131,656","133,044",92,3.9,-2.2,1.1,90
Humphreys,"684,256","658,424","646,809","652,356",58,-3.8,-1.8,0.9,91
Jackson,"195,246","194,875","195,258","204,449",86,-0.2,0.2,4.7,72
Jefferson,"1,424,380","1,498,471","1,526,394","1,609,494",30,5.2,1.9,5.4,64
Johnson,"351,422","369,286","371,418","383,453",73,5.1,0.6,3.2,85
Knox,"24,472,568","24,802,158","24,791,049","26,715,767",3,1.3,0.0,7.8,37
Lake,"106,479","126,196","116,937","129,616",93,18.5,-7.3,10.8,11
Lauderdale,"618,151","631,642","616,946","647,920",59,2.2,-2.3,5.0,67
Lawrence,"927,881","944,017","922,932","1,009,309",46,1.7,-2.2,9.4,24
Lewis,"240,062","258,799","263,077","284,072",80,7.8,1.7,8.0,35
Lincoln,"978,577","1,001,719","957,137","1,030,023",45,2.4,-4.5,7.6,38
Loudon,"1,722,394","1,885,525","1,925,407","2,003,727",25,9.5,2.1,4.1,76
McMinn,"1,906,514","1,925,377","1,906,863","2,015,158",24,1.0,-1.0,5.7,62
McNairy,"529,008","508,136","498,407","518,086",67,-3.9,-1.9,3.9,80
Macon,"503,622","486,329","480,665","499,446",69,-3.4,-1.2,3.9,81
Madison,"5,442,509","5,461,443","5,344,457","5,785,232",11,0.3,-2.1,8.2,31
Marion,"738,250","721,801","718,670","731,395",52,-2.2,-0.4,1.8,87
Marshall,"1,143,969","1,168,181","1,133,637","1,246,491",36,2.1,-3.0,10.0,20
Maury,"3,646,567","3,839,624","3,821,158","4,159,877",17,5.3,-0.5,8.9,27
Meigs,"233,292","225,093","231,490","245,341",84,-3.5,2.8,6.0,58
Monroe,"1,318,262","1,302,848","1,255,109","1,407,174",33,-1.2,-3.7,12.1,6
Montgomery,"4,838,626","5,108,592","5,176,190","5,474,967",13,5.6,1.3,5.8,61
Moore,"469,249","484,768","504,998","557,176",61,3.3,4.2,10.3,17
Morgan,"260,012","274,490","281,332","305,362",77,5.6,2.5,8.5,28
Obion,"1,004,086","1,086,664","1,084,564","1,196,155",37,8.2,-0.2,10.3,18
Overton,"502,638","521,275","488,325","514,096",68,3.7,-6.3,5.3,65
Perry,"171,409","174,774","156,836","155,460",90,2.0,-10.3,-0.9,93
Pickett,"148,507","134,169","127,732","136,179",91,-9.7,-4.8,6.6,50
Polk,"293,736","273,234","264,023","283,066",81,-7.0,-3.4,7.2,44
Putnam,"3,089,754","3,147,947","3,165,853","3,400,047",18,1.9,0.6,7.4,41
Rhea,"1,819,267","1,668,772","1,384,862","1,435,059",32,-8.3,-17.0,3.6,82
Roane,"2,259,249","2,389,172","2,335,025","2,455,931",21,5.8,-2.3,5.2,66
Robertson,"2,298,195","2,246,203","2,221,471","2,410,537",22,-2.3,-1.1,8.5,29
Rutherford,"14,857,967","15,501,302","15,326,270","17,034,477",6,4.3,-1.1,11.1,9
Scott,"523,793","517,236","503,871","550,121",63,-1.3,-2.6,9.2,25
Sequatchie,"266,023","257,775","269,881","285,844",79,-3.1,4.7,5.9,59
Sevier,"3,831,592","3,992,215","3,625,537","4,171,457",16,4.2,-9.2,15.1,1
Shelby,"56,517,120","57,139,440","55,200,428","58,568,444",2,1.1,-3.4,6.1,57
Smith,"693,681","677,383","674,103","692,392",53,-2.3,-0.5,2.7,86
Stewart,"807,474","716,693","651,013","683,453",55,-11.2,-9.2,5.0,70
Sullivan,"6,921,893","6,912,407","6,766,627","7,188,703",7,-0.1,-2.1,6.2,54
Sumner,"6,263,861","6,325,439","6,157,577","6,669,071",8,1.0,-2.7,8.3,30
Tipton,"1,046,990","1,072,087","1,094,624","1,179,701",38,2.4,2.1,7.8,36
Trousdale,"172,068","179,007","169,839","175,791",88,4.0,-5.1,3.5,84
Unicoi,"500,118","484,810","485,492","518,809",65,-3.1,0.1,6.9,49
Union,"276,642","287,501","284,270","301,799",78,3.9,-1.1,6.2,56
Van Buren,"87,147","88,326","91,112","94,900",94,1.4,3.2,4.2,75
Warren,"1,301,480","1,291,908","1,234,972","1,313,986",35,-0.7,-4.4,6.4,52
Washington,"5,231,553","5,444,143","5,517,403","6,021,999",9,4.1,1.3,9.1,26
Wayne,"295,788","299,496","309,702","305,805",76,1.3,3.4,-1.3,94
Weakley,"1,056,869","1,149,716","1,109,104","1,173,302",39,8.8,-3.5,5.8,60
White,"649,974","659,633","644,085","689,510",54,1.5,-2.4,7.1,47
Williamson,"20,534,695","21,456,833","21,697,766","23,986,184",5,4.5,1.1,10.5,13
Wilson,"4,812,670","4,923,862","5,058,829","5,614,548",12,2.3,2.7,11.0,10
,,,,,,,,,
Texas,"1,728,304,015","1,779,781,391","1,747,562,001","1,815,063,574",--,3.0,-1.8,3.9,--
Anderson,"1,820,342","1,889,459","1,877,252","1,988,409",90,3.8,-0.6,5.9,49
Andrews,"5,048,964","5,163,990","4,698,183","4,943,746",47,2.3,-9.0,5.2,57
Angelina,"3,015,825","3,085,230","2,996,772","2,908,393",67,2.3,-2.9,-2.9,180
Aransas,"619,307","653,121","652,135","701,313",164,5.5,-0.2,7.5,37
Archer,"339,652","340,175","345,597","329,973",203,0.2,1.6,-4.5,194
Armstrong,"65,327","64,907","49,916","44,698",253,-0.6,-23.1,-10.5,230
Atascosa,"4,155,178","4,650,805","3,882,655","3,713,764",60,11.9,-16.5,-4.3,193
Austin,"1,324,691","1,355,487","1,382,277","1,534,303",104,2.3,2.0,11.0,20
Bailey,"414,351","432,768","453,065","416,086",189,4.4,4.7,-8.2,217
Bandera,"357,940","378,376","392,127","398,838",190,5.7,3.6,1.7,126
Bastrop,"2,098,834","2,184,542","2,252,314","2,311,239",79,4.1,3.1,2.6,107
Baylor,"160,365","165,271","180,026","169,015",233,3.1,8.9,-6.1,205
Bee,"763,052","789,597","756,814","736,410",158,3.5,-4.2,-2.7,178
Bell,"14,782,056","15,086,891","15,433,508","15,997,631",16,2.1,2.3,3.7,80
Bexar,"94,848,108","95,837,054","94,028,344","99,059,995",5,1.0,-1.9,5.4,55
Blanco,"353,245","383,253","402,324","418,063",187,8.5,5.0,3.9,74
Borden,"574,644","882,616","786,662","710,857",162,53.6,-10.9,-9.6,222
Bosque,"522,662","536,360","551,714","553,558",175,2.6,2.9,0.3,145
Bowie,"3,263,566","3,233,389","3,206,305","3,264,393",63,-0.9,-0.8,1.8,124
Brazoria,"15,464,112","14,972,229","14,980,037","15,108,441",18,-3.2,0.1,0.9,139
Brazos,"9,487,291","9,733,599","9,761,216","10,284,429",27,2.6,0.3,5.4,54
Brewster,"356,140","369,006","369,745","393,341",191,3.6,0.2,6.4,43
Briscoe,"104,391","102,447","89,673","108,559",242,-1.9,-12.5,21.1,7
Brooks,"354,047","345,793","341,190","336,275",200,-2.3,-1.3,-1.4,167
Brown,"1,316,490","1,316,371","1,293,473","1,314,620",116,0.0,-1.7,1.6,128
Burleson,"1,564,951","1,754,502","1,647,977","1,355,101",113,12.1,-6.1,-17.8,246
Burnet,"1,436,788","1,510,823","1,572,312","1,649,487",98,5.2,4.1,4.9,60
Caldwell,"908,162","917,151","955,706","984,295",137,1.0,4.2,3.0,95
Calhoun,"3,402,793","3,396,793","3,163,804","3,091,920",65,-0.2,-6.9,-2.3,172
Callahan,"290,349","295,746","290,003","296,324",210,1.9,-1.9,2.2,113
Cameron,"9,823,716","10,072,582","10,129,653","10,741,407",26,2.5,0.6,6.0,48
Camp,"347,075","320,925","333,492","356,367",197,-7.5,3.9,6.9,40
Carson,"986,079","1,015,546","948,265","1,044,263",131,3.0,-6.6,10.1,21
Cass,"788,760","818,890","856,357","881,965",145,3.8,4.6,3.0,97
Castro,"822,856","817,502","826,761","735,542",159,-0.7,1.1,-11.0,231
Chambers,"2,866,167","2,453,693","2,449,498","2,343,913",78,-14.4,-0.2,-4.3,192
Cherokee,"1,343,807","1,339,150","1,342,933","1,379,747",112,-0.3,0.3,2.7,102
Childress,"200,352","204,706","211,578","223,075",224,2.2,3.4,5.4,53
Clay,"249,609","256,657","254,619","246,522",218,2.8,-0.8,-3.2,182
Cochran,"341,759","396,940","406,652","418,696",186,16.1,2.4,3.0,98
Coke,"136,204","127,958","129,089","234,644",219,-6.1,0.9,81.8,1
Coleman,"215,415","219,909","221,099","229,181",223,2.1,0.5,3.7,79
Collin,"62,389,788","63,751,719","65,635,743","71,341,415",6,2.2,3.0,8.7,23
Collingsworth,"75,592","72,964","74,264","77,230",251,-3.5,1.8,4.0,72
Colorado,"801,972","834,977","812,875","868,491",149,4.1,-2.6,6.8,41
Comal,"5,584,159","5,862,486","6,078,089","6,566,927",37,5.0,3.7,8.0,30
Comanche,"365,587","416,048","442,545","418,044",188,13.8,6.4,-5.5,201
Concho,"109,805","119,622","136,378","139,977",238,8.9,14.0,2.6,106
Cooke,"2,550,922","2,243,214","1,975,276","2,144,659",84,-12.1,-11.9,8.6,24
Coryell,"1,518,274","1,476,090","1,485,109","1,537,896",103,-2.8,0.6,3.6,82
Cottle,"89,758","67,835","76,258","86,435",249,-24.4,12.4,13.3,14
Crane,"1,040,265","1,190,166","1,157,432","1,044,081",132,14.4,-2.8,-9.8,225
Crockett,"1,368,848","1,337,385","1,403,558","1,187,371",120,-2.3,4.9,-15.4,241
Crosby,"291,382","317,683","299,971","329,731",204,9.0,-5.6,9.9,22
Culberson,"1,549,054","2,145,732","2,693,707","2,577,980",74,38.5,25.5,-4.3,191
Dallam,"761,322","783,822","775,937","729,600",161,3.0,-1.0,-6.0,204
Dallas,"236,377,335","246,221,845","241,901,337","257,870,247",2,4.2,-1.8,6.6,42
Dawson,"911,619","841,436","885,824","799,174",153,-7.7,5.3,-9.8,224
Deaf Smith,"1,745,746","1,635,144","1,608,054","1,488,413",108,-6.3,-1.7,-7.4,214
Delta,"100,532","102,229","107,002","100,636",245,1.7,4.7,-5.9,203
Denton,"31,446,463","33,230,943","34,968,093","37,848,696",7,5.7,5.2,8.2,27
DeWitt,"6,649,020","6,693,584","5,825,618","5,342,460",44,0.7,-13.0,-8.3,219
Dickens,"138,697","135,143","131,127","130,778",240,-2.6,-3.0,-0.3,153
Dimmit,"5,510,647","6,147,752","4,941,451","3,810,381",59,11.6,-19.6,-22.9,251
Donley,"153,476","139,728","140,652","147,287",237,-9.0,0.7,4.7,63
Duval,"418,577","411,342","389,958","385,716",193,-1.7,-5.2,-1.1,162
Eastland,"807,632","831,884","831,309","797,748",154,3.0,-0.1,-4.0,189
Ector,"12,898,132","13,456,927","11,432,822","11,097,612",25,4.3,-15.0,-2.9,179
Edwards,"97,318","84,172","96,511","92,427",247,-13.5,14.7,-4.2,190
Ellis,"5,809,680","5,856,609","5,831,532","6,108,972",39,0.8,-0.4,4.8,61
El Paso,"28,521,867","29,849,124","29,550,566","30,648,707",8,4.7,-1.0,3.7,76
Erath,"1,414,245","1,506,967","1,486,989","1,457,131",109,6.6,-1.3,-2.0,170
Falls,"367,718","373,610","393,579","393,114",192,1.6,5.3,-0.1,150
Fannin,"807,362","842,931","836,558","859,117",150,4.4,-0.8,2.7,104
Fayette,"1,655,155","1,693,764","1,646,650","1,751,625",96,2.3,-2.8,6.4,44
Fisher,"276,279","262,991","278,721","348,454",198,-4.8,6.0,25.0,5
Floyd,"296,991","335,043","267,761","332,592",201,12.8,-20.1,24.2,6
Foard,"45,033","57,338","102,477","103,704",244,27.3,78.7,1.2,135
Fort Bend,"27,140,348","28,117,662","28,175,526","29,083,534",10,3.6,0.2,3.2,88
Franklin,"444,763","421,511","424,552","433,868",183,-5.2,0.7,2.2,112
Freestone,"1,295,729","1,343,686","1,302,775","1,185,904",121,3.7,-3.0,-9.0,220
Frio,"1,486,211","1,447,371","1,284,052","1,269,251",119,-2.6,-11.3,-1.2,164
Gaines,"3,182,796","3,433,668","3,241,114","2,845,067",69,7.9,-5.6,-12.2,236
Galveston,"15,820,047","15,904,239","15,416,356","15,935,826",17,0.5,-3.1,3.4,86
Garza,"341,549","383,806","310,049","308,906",209,12.4,-19.2,-0.4,155
Gillespie,"944,662","999,318","1,023,468","1,102,847",128,5.8,2.4,7.8,35
Glasscock,"5,151,922","6,124,795","5,924,545","4,711,124",50,18.9,-3.3,-20.5,249
Goliad,"335,428","327,043","288,252","331,925",202,-2.5,-11.9,15.2,11
Gonzales,"4,763,011","5,298,943","4,558,814","4,564,778",51,11.3,-14.0,0.1,148
Gray,"1,064,530","1,066,752","1,006,956","983,422",138,0.2,-5.6,-2.3,175
Grayson,"4,730,225","4,761,088","4,750,612","4,988,343",46,0.7,-0.2,5.0,58
Gregg,"7,228,939","7,338,218","6,799,867","6,943,296",36,1.5,-7.3,2.1,116
Grimes,"1,085,019","1,068,440","1,008,493","985,254",136,-1.5,-5.6,-2.3,174
Guadalupe,"5,506,820","6,661,082","7,118,119","8,255,818",32,21.0,6.9,16.0,9
Hale,"1,186,963","1,319,258","1,337,825","1,319,159",114,11.1,1.4,-1.4,166
Hall,"65,303","80,751","81,770","107,253",243,23.7,1.3,31.2,3
Hamilton,"231,483","241,154","253,804","261,011",214,4.2,5.2,2.8,100
Hansford,"694,145","694,101","644,709","579,479",173,0.0,-7.1,-10.1,227
Hardeman,"202,761","204,242","237,842","234,310",220,0.7,16.5,-1.5,168
Hardin,"1,391,106","1,346,032","1,293,420","1,302,074",117,-3.2,-3.9,0.7,141
Harris,"376,052,804","369,729,664","359,146,260","364,521,545",1,-1.7,-2.9,1.5,129
Harrison,"4,525,754","4,348,403","4,236,031","4,335,275",53,-3.9,-2.6,2.3,111
Hartley,"954,129","967,844","920,902","832,398",151,1.4,-4.9,-9.6,221
Haskell,"313,269","386,995","370,092","340,428",199,23.5,-4.4,-8.0,216
Hays,"6,727,602","7,223,453","7,420,133","8,032,681",34,7.4,2.7,8.3,26
Hemphill,"932,166","949,362","888,930","707,542",163,1.8,-6.4,-20.4,248
Henderson,"1,655,240","1,734,206","1,779,260","1,815,245",94,4.8,2.6,2.0,118
Hidalgo,"19,445,191","19,933,787","19,980,035","20,877,561",13,2.5,0.2,4.5,67
Hill,"936,047","955,979","946,606","1,020,078",133,2.1,-1.0,7.8,34
Hockley,"2,342,738","2,450,108","2,156,774","2,006,348",88,4.6,-12.0,-7.0,211
Hood,"2,263,976","2,423,838","2,168,219","2,237,651",80,7.1,-10.5,3.2,90
Hopkins,"1,473,671","1,578,948","1,522,037","1,554,291",101,7.1,-3.6,2.1,115
Houston,"973,384","993,230","1,012,336","1,010,355",134,2.0,1.9,-0.2,151
Howard,"6,863,771","8,579,239","8,527,407","8,729,519",29,25.0,-0.6,2.4,110
Hudspeth,"174,287","174,936","175,612","176,054",231,0.4,0.4,0.3,146
Hunt,"4,311,205","4,429,962","4,204,351","4,527,612",52,2.8,-5.1,7.7,36
Hutchinson,"6,587,439","6,212,374","5,381,213","5,040,417",45,-5.7,-13.4,-6.3,206
Irion,"1,572,524","2,065,930","2,022,533","1,546,821",102,31.4,-2.1,-23.5,253
Jack,"726,618","581,917","572,891","543,447",177,-19.9,-1.6,-5.1,199
Jackson,"704,397","748,056","650,062","635,115",169,6.2,-13.1,-2.3,173
Jasper,"974,838","962,875","966,682","962,196",140,-1.2,0.4,-0.5,157
Jeff Davis,"76,833","77,272","78,669","84,951",250,0.6,1.8,8.0,31
Jefferson,"21,236,111","21,053,316","17,334,806","16,642,537",15,-0.9,-17.7,-4.0,188
Jim Hogg,"198,130","202,804","206,767","196,335",227,2.4,2.0,-5.0,198
Jim Wells,"1,621,917","1,624,658","1,287,736","1,318,596",115,0.2,-20.7,2.4,109
Johnson,"6,285,647","6,440,980","6,584,231","7,097,713",35,2.5,2.2,7.8,33
Jones,"414,381","423,703","418,929","453,833",181,2.2,-1.1,8.3,25
Karnes,"12,127,059","13,206,009","11,384,348","10,226,706",28,8.9,-13.8,-10.2,228
Kaufman,"3,238,982","3,441,267","3,636,574","3,839,827",58,6.2,5.7,5.6,52
Kendall,"1,932,873","2,006,505","1,906,356","2,042,055",87,3.8,-5.0,7.1,39
Kenedy,"287,969","358,563","284,280","327,718",206,24.5,-20.7,15.3,10
Kent,"391,393","388,601","324,710","275,136",213,-0.7,-16.4,-15.3,240
Kerr,"1,843,176","1,926,699","1,937,117","2,047,217",86,4.5,0.5,5.7,51
Kimble,"143,425","141,666","141,889","147,483",236,-1.2,0.2,3.9,73
King,"208,560","199,078","159,685","133,042",239,-4.5,-19.8,-16.7,243
Kinney,"98,257","102,000","103,676","99,624",246,3.8,1.6,-3.9,186
Kleberg,"1,029,230","1,085,554","1,078,903","1,092,893",129,5.5,-0.6,1.3,133
Knox,"159,874","154,658","162,462","208,343",225,-3.3,5.0,28.2,4
Lamar,"2,522,641","2,440,582","2,261,712","2,366,855",77,-3.3,-7.3,4.6,65
Lamb,"761,949","744,569","723,858","669,596",166,-2.3,-2.8,-7.5,215
Lampasas,"442,842","466,848","477,476","486,785",179,5.4,2.3,1.9,121
La Salle,"7,076,684","7,695,106","6,233,153","5,617,101",42,8.7,-19.0,-9.9,226
Lavaca,"1,526,095","1,663,365","1,518,535","1,533,509",105,9.0,-8.7,1.0,138
Lee,"916,621","1,067,119","938,019","872,852",146,16.4,-12.1,-6.9,210
Leon,"930,202","920,030","951,347","942,062",142,-1.1,3.4,-1.0,160
Liberty,"2,057,344","2,106,176","2,099,313","2,172,292",83,2.4,-0.3,3.5,85
Limestone,"1,504,481","1,517,786","1,355,300","1,392,704",111,0.9,-10.7,2.8,101
Lipscomb,"791,616","864,588","861,595","777,467",155,9.2,-0.3,-9.8,223
Live Oak,"1,981,843","2,521,637","2,128,049","1,877,096",93,27.2,-15.6,-11.8,234
Llano,"672,888","686,811","705,164","729,917",160,2.1,2.7,3.5,84
Loving,"7,968,507","10,394,525","10,884,326","8,094,120",33,30.4,4.7,-25.6,254
Lubbock,"12,359,529","12,543,623","12,528,364","12,845,631",20,1.5,-0.1,2.5,108
Lynn,"226,082","281,067","322,948","370,153",196,24.3,14.9,14.6,12
McCulloch,"381,059","334,775","306,754","312,707",208,-12.1,-8.4,1.9,122
McLennan,"11,700,937","11,821,292","11,380,893","12,033,420",23,1.0,-3.7,5.7,50
McMullen,"3,362,561","3,611,426","3,035,024","2,381,502",76,7.4,-16.0,-21.5,250
Madison,"807,989","827,685","755,372","775,974",156,2.4,-8.7,2.7,103
Marion,"262,894","263,081","243,072","229,347",222,0.1,-7.6,-5.6,202
Martin,"9,316,875","14,009,307","14,253,320","14,429,263",19,50.4,1.7,1.2,134
Mason,"129,233","127,334","121,004","126,202",241,-1.5,-5.0,4.3,69
Matagorda,"1,982,035","2,120,039","2,083,049","2,076,077",85,7.0,-1.7,-0.3,154
Maverick,"1,588,275","1,599,180","1,509,847","1,531,716",106,0.7,-5.6,1.4,131
Medina,"954,639","989,105","1,026,734","1,057,438",130,3.6,3.8,3.0,96
Menard,"54,881","53,788","54,928","52,737",252,-2.0,2.1,-4.0,187
Midland,"26,577,881","31,260,055","29,587,229","28,124,795",11,17.6,-5.4,-4.9,197
Milam,"569,901","615,463","585,868","607,642",170,8.0,-4.8,3.7,75
Mills,"174,264","190,467","196,656","191,994",228,9.3,3.2,-2.4,176
Mitchell,"475,087","466,932","452,942","421,300",185,-1.7,-3.0,-7.0,212
Montague,"978,718","981,282","900,858","872,436",147,0.3,-8.2,-3.2,181
Montgomery,"27,037,100","27,685,904","27,906,806","29,279,920",9,2.4,0.8,4.9,59
Moore,"2,702,929","3,101,877","2,540,886","2,848,619",68,14.8,-18.1,12.1,15
Morris,"673,684","627,562","585,775","586,942",172,-6.8,-6.7,0.2,147
Motley,"29,815","30,665","35,777","29,917",254,2.9,16.7,-16.4,242
Nacogdoches,"2,631,319","2,585,119","2,623,286","2,729,072",72,-1.8,1.5,4.0,71
Navarro,"1,504,249","1,505,685","1,452,380","1,505,984",107,0.1,-3.5,3.7,77
Newton,"484,490","513,864","467,801","461,476",180,6.1,-9.0,-1.4,165
Nolan,"920,299","964,273","948,836","1,007,421",135,4.8,-1.6,6.2,47
Nueces,"19,287,314","19,423,485","17,944,946","18,521,152",14,0.7,-7.6,3.2,89
Ochiltree,"1,451,356","1,431,544","1,232,335","1,151,757",124,-1.4,-13.9,-6.5,208
Oldham,"381,181","341,322","402,859","381,682",195,-10.5,18.0,-5.3,200
Orange,"3,420,869","3,265,365","3,228,372","3,192,213",64,-4.5,-1.1,-1.1,163
Palo Pinto,"1,057,699","1,071,908","1,006,497","982,128",139,1.3,-6.1,-2.4,177
Panola,"2,665,716","3,143,591","3,570,589","3,977,905",54,17.9,13.6,11.4,19
Parker,"4,350,009","4,351,986","4,510,527","4,870,705",48,0.0,3.6,8.0,32
Parmer,"1,040,764","1,064,321","1,089,930","1,124,183",126,2.3,2.4,3.1,93
Pecos,"3,124,672","4,100,940","4,141,289","3,619,704",61,31.2,1.0,-12.6,238
Polk,"1,218,856","1,269,349","1,296,623","1,283,219",118,4.1,2.1,-1.0,161
Potter,"7,673,447","7,909,376","8,003,712","8,377,702",31,3.1,1.2,4.7,64
Presidio,"241,042","239,232","242,120","257,428",216,-0.8,1.2,6.3,46
Rains,"190,207","197,770","200,388","207,558",226,4.0,1.3,3.6,81
Randall,"3,568,581","3,653,311","3,744,787","3,869,832",57,2.4,2.5,3.3,87
Reagan,"5,574,423","6,768,860","6,349,046","5,700,871",41,21.4,-6.2,-10.2,229
Real,"65,187","66,551","82,710","87,091",248,2.1,24.3,5.3,56
Red River,"268,523","289,827","308,770","320,123",207,7.9,6.5,3.7,78
Reeves,"11,455,904","16,648,775","15,426,479","12,789,394",22,45.3,-7.3,-17.1,244
Refugio,"481,603","487,764","439,458","424,597",184,1.3,-9.9,-3.4,184
Roberts,"909,899","969,847","907,403","696,968",165,6.6,-6.4,-23.2,252
Robertson,"2,707,948","2,879,417","2,955,084","2,990,283",66,6.3,2.6,1.2,136
Rockwall,"3,207,091","3,463,950","3,652,486","3,946,843",56,8.0,5.4,8.1,29
Runnels,"312,258","313,626","303,233","327,978",205,0.4,-3.3,8.2,28
Rusk,"2,786,155","2,775,246","2,794,134","2,787,320",71,-0.4,0.7,-0.2,152
Sabine,"223,598","214,831","228,586","233,075",221,-3.9,6.4,2.0,120
San Augustine,"910,554","1,272,806","1,407,297","1,122,623",127,39.8,10.6,-20.2,247
San Jacinto,"326,767","357,170","379,218","384,773",194,9.3,6.2,1.5,130
San Patricio,"2,255,731","2,297,371","2,740,284","2,563,857",75,1.8,19.3,-6.4,207
San Saba,"175,043","179,343","159,130","156,523",235,2.5,-11.3,-1.6,169
Schleicher,"162,493","192,031","190,823","181,707",229,18.2,-0.6,-4.8,196
Scurry,"2,435,321","2,454,977","2,253,288","2,180,743",81,0.8,-8.2,-3.2,183
Shackelford,"281,582","270,239","257,395","260,840",215,-4.0,-4.8,1.3,132
Shelby,"1,491,775","1,478,891","1,432,074","1,636,511",99,-0.9,-3.2,14.3,13
Sherman,"617,741","628,283","561,720","558,284",174,1.7,-10.6,-0.6,158
Smith,"10,518,935","10,850,746","10,841,346","11,130,658",24,3.2,-0.1,2.7,105
Somervell,"1,223,097","1,161,448","1,144,240","1,157,448",122,-5.0,-1.5,1.2,137
Starr,"1,354,918","1,395,173","1,457,434","1,448,367",110,3.0,4.5,-0.6,159
Stephens,"542,009","562,838","539,212","514,512",178,3.8,-4.2,-4.6,195
Sterling,"309,510","321,878","294,027","287,865",211,4.0,-8.7,-2.1,171
Stonewall,"290,454","249,787","202,517","178,740",230,-14.0,-18.9,-11.7,233
Sutton,"380,694","354,503","313,144","275,893",212,-6.9,-11.7,-11.9,235
Swisher,"670,761","587,052","535,248","545,377",176,-12.5,-8.8,1.9,123
Tarrant,"108,554,870","111,451,346","105,937,202","112,682,577",4,2.7,-4.9,6.4,45
Taylor,"5,849,529","6,072,793","6,355,251","6,558,332",38,3.8,4.7,3.2,91
Terrell,"156,381","166,249","153,364","171,409",232,6.3,-7.8,11.8,16
Terry,"786,665","774,451","722,528","639,310",168,-1.6,-6.7,-11.5,232
Throckmorton,"157,651","118,261","109,330","167,105",234,-25.0,-7.6,52.8,2
Titus,"1,846,073","1,735,280","1,627,849","1,813,817",95,-6.0,-6.2,11.4,18
Tom Green,"5,355,850","5,670,454","5,817,748","5,941,735",40,5.9,2.6,2.1,114
Travis,"109,328,928","114,194,234","116,192,625","129,639,407",3,4.5,1.7,11.6,17
Trinity,"226,302","238,627","248,822","253,751",217,5.4,4.3,2.0,119
Tyler,"401,452","420,028","447,887","449,659",182,4.6,6.6,0.4,144
