2020 Alphabetical Vessel Statistics by County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nassau,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,823",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,13,,,,,,,
Okaloosa,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,342",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,38,,,,,,,
Okeechoee,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,943,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,35,,,,,,,
Orange,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"4,194",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,79,,,,,,,
Osceola,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,348",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,16,,,,,,,
Palm Beach,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"4,028",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,131,,,,,,,
Pasco,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"5,013",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,65,,,,,,,
Pinellas,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"5,584",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,109,,,,,,,
Polk,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"6,614",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,142,,,,,,,
Putnam,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,900",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,55,,,,,,,
Santa Rosa,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,777",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,43,,,,,,,
Sarasota,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,887",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,26,,,,,,,
Seminole,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"3,443",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,39,,,,,,,
St. Johns,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,943",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,79,,,,,,,
St. Lucie,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"2,042",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,64,,,,,,,
Sumter,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,409",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,12,,,,,,,
Suwannee,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,000",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,5,,,,,,,
Taylor,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,243",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,24,,,,,,,
Union,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,328,,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,4,,,,,,,
Volusia,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"6,423",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,166,,,,,,,
Wakulla,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,773",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,42,,,,,,,
Walton,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,964",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,20,,,,,,,
Washington,,"Class A-2 - Pleasure: 12 - 15' 11""",,,,,,"1,380",,,,,"Class A-2 - Commercial: 12 - 15' 11""",,,,,,,6,,,,,,,
County,,,Class 1 - Pleasure,,,,,Total in Class 1 - Pleasure,,,,,Class 1 - Commercial,,,,,,Total in Class 1 - Commercial,,,,,,,,
Alachua,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"6,380",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,125,,,,,,,,
Baker,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,681",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,9,,,,,,,,
Bay,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"7,887",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,297,,,,,,,,
Bradford,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,371",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,10,,,,,,,,
Brevard,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"17,604",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,449,,,,,,,,
Broward,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"20,372",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,465,,,,,,,,
Calhoun,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,646,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,12,,,,,,,,
Charlotte,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"14,097",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,364,,,,,,,,
Citrus,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"10,618",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,447,,,,,,,,
Clay,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"7,062",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,65,,,,,,,,
Collier,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"11,064",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,528,,,,,,,,
Columbia,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"2,702",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,20,,,,,,,,
Dade,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"29,514",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,865,,,,,,,,
Desoto,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,154",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,48,,,,,,,,
DHSMV,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,440",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,757,,,,,,,,
Dixie,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,429",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,165,,,,,,,,
Duval,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"13,603",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,359,,,,,,,,
Escambia,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"8,719",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,165,,,,,,,,
Flagler,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"3,361",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,36,,,,,,,,
Franklin,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,436",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,389,,,,,,,,
Gadsden,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,270",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,11,,,,,,,,
Gilchrist,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,163",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,19,,,,,,,,
Glades,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,805,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,18,,,,,,,,
Gulf,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,370",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,141,,,,,,,,
Hamilton,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,472,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,5,,,,,,,,
Hardee,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,911,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,11,,,,,,,,
Hendry,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,788",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,47,,,,,,,,
Hernando,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"5,688",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,69,,,,,,,,
Highlands,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"5,784",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,33,,,,,,,,
Hills,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"21,860",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,401,,,,,,,,
Holmes,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,808,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,8,,,,,,,,
Indian River,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"6,094",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,198,,,,,,,,
Jackson,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"1,975",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,15,,,,,,,,
Jefferson,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,841,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,10,,,,,,,,
Lafayette,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,514,,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,13,,,,,,,,
County,,,Class 1 - Pleasure,,,,,Total in Class 1 - Pleasure,,,,,Class 1 - Commercial,,,,,,Total in Class 1 - Commercial,,,,,,,,
Lake,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"14,679",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,129,,,,,,,,
Lee,,,"Class 1 - Pleasure: 16 - 25' 11""",,,,,"28,012",,,,,"Class 1 - Commercial: 16 - 25' 11""",,,,,,677,,,,,,,,
